,subject,frame,contact_type
0,B70410,01500.jpg,"[[10, 19], [10, 17]]"
1,B70410,01625.jpg,"[[12, 19], [10, 17]]"
2,B70410,02125.jpg,"[[12, 8], [12, 6]]"
3,B70410,04375.jpg,"[[19, 19], [19, 17]]"
4,B70410,06625.jpg,"[[19, 20]]"
5,B70410,07250.jpg,"[[19, 19]]"
6,B70410,12125.jpg,"[[10, 6]]"
7,B70410,12875.jpg,"[[17, 5], [17, 17], [19, 9]]"
8,B70410,15375.jpg,"[[19, 13]]"
9,B70410,15625.jpg,"[[19, 19]]"
10,B70410,17250.jpg,"[[19, 17], [19, 5], [19, 9]]"
11,B70410,17500.jpg,"[[19, 13]]"
12,B70410,17750.jpg,"[[19, 13]]"
13,B46724,04950.jpg,"[[19, 14]]"
14,B46724,07350.jpg,"[[19, 20], [19, 18]]"
15,B46724,08550.jpg,"[[19, 16]]"
16,B46724,09300.jpg,"[[19, 18]]"
17,B46724,09600.jpg,"[[20, 12]]"
18,B46724,09750.jpg,"[[20, 12]]"
19,B46724,09900.jpg,"[[19, 18]]"
20,B46724,11550.jpg,"[[20, 17]]"
21,B46724,12750.jpg,"[[20, 3]]"
22,B46724,13500.jpg,"[[20, 13]]"
23,B46724,14850.jpg,"[[20, 11]]"
24,B46724,15150.jpg,"[[20, 3], [18, 11]]"
25,B46724,15300.jpg,"[[20, 11]]"
26,B46724,15750.jpg,"[[20, 9]]"
27,B46724,16200.jpg,"[[20, 11]]"
28,B46724,16800.jpg,"[[18, 11]]"
29,B46724,17700.jpg,"[[19, 11], [17, 9], [0, 1], [3, 1], [18, 10], [18, 5], [18, 7], [18, 18], [17, 17], [9, 6], [10, 6]]"
30,B46724,18150.jpg,"[[18, 10], [18, 5], [18, 3], [17, 15], [17, 9], [17, 3], [18, 16]]"
31,B46724,19200.jpg,"[[19, 6], [19, 8]]"
32,B46724,19350.jpg,"[[17, 15], [19, 3], [19, 16], [17, 3], [0, 0], [15, 1], [3, 4], [10, 13]]"
33,B46724,19500.jpg,"[[10, 14], [10, 11], [10, 9], [19, 3], [19, 15], [19, 4], [20, 16], [20, 3]]"
34,B46724,19650.jpg,"[[3, 16], [17, 3], [3, 4], [9, 6], [10, 8], [10, 9], [10, 11], [10, 10], [10, 12], [19, 17]]"
35,B46724,19800.jpg,"[[0, 0], [10, 8], [10, 10], [18, 10], [10, 9], [17, 15], [17, 3], [3, 16], [3, 4], [9, 6], [10, 12], [20, 20], [19, 3]]"
36,B46724,21300.jpg,"[[20, 3], [20, 16], [20, 4], [19, 4], [19, 15], [19, 3]]"
37,B46724,21600.jpg,"[[10, 8], [19, 3], [19, 15], [19, 4], [20, 3], [20, 16], [3, 16], [10, 10], [10, 12]]"
38,B46724,21750.jpg,"[[19, 15], [19, 4], [17, 4], [17, 1], [15, 16], [3, 18], [3, 10], [10, 8], [10, 10], [10, 12], [9, 6], [10, 11], [10, 9]]"
39,B46724,21900.jpg,"[[10, 8], [10, 10], [10, 12], [12, 9], [12, 11], [19, 5], [19, 7], [19, 9], [17, 5], [17, 17], [3, 16], [0, 0], [3, 6]]"
40,B46724,22050.jpg,"[[10, 8], [10, 10], [10, 12], [12, 9], [12, 11], [19, 5], [19, 7], [19, 9], [17, 5], [17, 17], [3, 16], [19, 19]]"
41,B46724,22350.jpg,"[[10, 8], [20, 7], [20, 9], [10, 9], [10, 10], [10, 11], [10, 12], [17, 1], [17, 4], [19, 15], [19, 4], [15, 20], [3, 10]]"
42,B46724,22500.jpg,"[[10, 8], [10, 9], [10, 11], [10, 10], [10, 12], [20, 9], [19, 3], [19, 15], [17, 4], [3, 5], [9, 18], [17, 2], [17, 1], [20, 7]]"
43,B46724,22650.jpg,"[[17, 1], [19, 4], [19, 15], [10, 8], [10, 9], [10, 11], [10, 12], [10, 10], [5, 20], [18, 9], [20, 5], [20, 19], [3, 10], [18, 12]]"
44,B46724,22800.jpg,"[[10, 8], [10, 9], [10, 10], [10, 12], [10, 11], [20, 7], [20, 9], [18, 12], [19, 3], [19, 4], [19, 15], [17, 4], [3, 10], [3, 5]]"
45,B46724,22950.jpg,"[[10, 8], [10, 9], [10, 11], [10, 10], [10, 12], [3, 5], [3, 3], [19, 5], [17, 4], [17, 15], [15, 16], [5, 16], [5, 18], [19, 3]]"
46,B46724,23100.jpg,"[[10, 8], [10, 9], [10, 11], [20, 7], [20, 9], [18, 12], [18, 14], [17, 4], [17, 1], [19, 5], [19, 6], [17, 15], [15, 1], [15, 0], [3, 10], [3, 12]]"
47,B46724,23250.jpg,"[[17, 8], [19, 8], [10, 13], [10, 11], [5, 9], [9, 14], [9, 12], [5, 10], [15, 18], [15, 20], [15, 16], [15, 0], [15, 3], [3, 3], [3, 5], [0, 1], [0, 15], [2, 17], [16, 17], [4, 19], [18, 8], [17, 14]]"
48,B46724,23400.jpg,"[[9, 14], [9, 12], [5, 10], [10, 13], [10, 11], [5, 9], [18, 4], [18, 6], [20, 4], [20, 16], [3, 5], [3, 3], [16, 15], [16, 17], [16, 19], [9, 8]]"
49,B46724,23550.jpg,"[[9, 14], [10, 13], [10, 11], [5, 9], [16, 15], [18, 17], [16, 17], [16, 19], [16, 3], [3, 3], [3, 5], [5, 10], [9, 12], [17, 14], [17, 8], [19, 8], [9, 8], [3, 20], [16, 0], [18, 4]]"
50,B46724,23700.jpg,"[[16, 19], [18, 11], [18, 13], [17, 8], [9, 8], [10, 13], [10, 11], [5, 9], [9, 12], [5, 10], [3, 20], [3, 3], [3, 5], [18, 8]]"
51,B46724,23850.jpg,"[[3, 5], [3, 3], [5, 9], [10, 11], [10, 13], [3, 20], [15, 18], [9, 12], [5, 10], [17, 9], [17, 8], [19, 6], [9, 8], [19, 8], [0, 1]]"
52,B46724,24000.jpg,"[[5, 9], [10, 11], [10, 13], [9, 12], [5, 10], [17, 8], [19, 6], [9, 8], [19, 8], [0, 0], [15, 20], [15, 12], [3, 9]]"
53,B46724,24150.jpg,"[[5, 9], [10, 11], [10, 13], [9, 12], [5, 10], [19, 6], [9, 8], [17, 6]]"
54,B46724,24300.jpg,"[[5, 9], [10, 11], [10, 13], [9, 12], [5, 10], [19, 6], [9, 8], [19, 8], [17, 8], [18, 6], [18, 9], [18, 17], [16, 19], [3, 3], [3, 5], [15, 18]]"
55,B41645,02400.jpg,"[[19, 17], [19, 19]]"
56,B41645,09300.jpg,"[[13, 13]]"
57,B41645,09450.jpg,"[[13, 11]]"
58,B41645,09600.jpg,"[[13, 11]]"
59,B41645,10050.jpg,"[[13, 13]]"
60,B41645,16050.jpg,"[[12, 10]]"
61,B41645,16200.jpg,"[[12, 8], [13, 14]]"
62,B41645,16350.jpg,"[[19, 4], [19, 15]]"
63,B48908,00250.jpg,"[[3, 17], [19, 3], [19, 15], [20, 3], [20, 5], [5, 10], [5, 12], [5, 9], [18, 8], [16, 8], [10, 14]]"
64,B48908,01625.jpg,"[[10, 13]]"
65,B48908,01875.jpg,"[[10, 13]]"
66,B48908,02000.jpg,"[[10, 13]]"
67,B48908,02125.jpg,"[[10, 13]]"
68,B48908,02375.jpg,"[[10, 13]]"
69,B48908,02625.jpg,"[[10, 13]]"
70,B48908,07750.jpg,"[[19, 19]]"
71,B48908,10125.jpg,"[[19, 3], [19, 15], [19, 4], [20, 4], [20, 16], [20, 3], [12, 12], [13, 13]]"
72,B48908,10250.jpg,"[[3, 1], [5, 4], [9, 15], [12, 8], [12, 9], [12, 12], [10, 10]]"
73,B48908,10375.jpg,"[[3, 1], [5, 4], [9, 15], [12, 8], [12, 9], [12, 12], [10, 10], [0, 1]]"
74,B48908,10500.jpg,"[[3, 1], [5, 4], [9, 15], [12, 8], [12, 9], [12, 12], [10, 10], [0, 1]]"
75,B48908,10625.jpg,"[[0, 1], [11, 17], [12, 8]]"
76,B48908,10750.jpg,"[[0, 1], [11, 17], [12, 8]]"
77,B48908,10875.jpg,"[[11, 17], [20, 18], [12, 8]]"
78,B48908,11000.jpg,"[[13, 3]]"
79,B48908,11125.jpg,"[[13, 19], [19, 6], [20, 6], [19, 5], [20, 5], [12, 8]]"
80,B48908,11250.jpg,"[[12, 12], [10, 10], [9, 17], [12, 9], [11, 11], [11, 14], [11, 13], [3, 1], [5, 4], [7, 6], [9, 6], [10, 8]]"
81,B48908,11375.jpg,"[[12, 12], [10, 10], [12, 9], [11, 11], [11, 14], [11, 13], [3, 1], [5, 4], [7, 6], [9, 6], [10, 8], [17, 15]]"
82,B48908,11500.jpg,"[[12, 12], [10, 10], [17, 15]]"
83,B48908,11625.jpg,"[[13, 5]]"
84,B48908,11750.jpg,"[[13, 11], [12, 8]]"
85,B48908,11875.jpg,"[[12, 8], [11, 13]]"
86,B48908,12000.jpg,"[[19, 19], [19, 17], [19, 3], [20, 3], [20, 16], [20, 4], [20, 5]]"
87,B48908,12125.jpg,"[[3, 1], [5, 4], [12, 12], [12, 13], [12, 11], [5, 15], [12, 10], [7, 6], [12, 9]]"
88,B48908,12250.jpg,"[[3, 1], [5, 4], [12, 12], [12, 13], [12, 11], [5, 15], [12, 10], [7, 6], [12, 9], [0, 1], [18, 18], [16, 16]]"
